tid	screen_name
6.85998E+17	aacosta30
7.14951E+17	aaechighschools
6.871E+17	AAF
7.2252E+17	aafp
7.02932E+17	aaja
7.1491E+17	AamerISmad
7.05047E+17	aamidway
7.2911E+17	AAPIforBernie
6.94572E+17	AAPPD
6.9892E+17	aaps
7.08697E+17	aapyles
7.19551E+17	aapyles
6.94334E+17	AaronBlake
6.94338E+17	AaronBlake
7.00498E+17	AaronBlake
7.10201E+17	AaronBlake
7.10201E+17	AaronBlake
7.24618E+17	AaronBlake
7.24676E+17	AaronBlake
7.24764E+17	AaronBlake
6.96696E+17	AaronBMacLean
7.1888E+17	aarondelay
6.85261E+17	AaronDFordNV
6.85514E+17	AaronDFordNV
6.86948E+17	AaronDFordNV
6.8695E+17	AaronDFordNV
6.87688E+17	AaronDFordNV
6.8849E+17	AaronDFordNV
6.88491E+17	AaronDFordNV
6.89164E+17	AaronDFordNV
6.90034E+17	AaronDFordNV
6.90815E+17	AaronDFordNV
6.97196E+17	AaronDFordNV
7.0055E+17	AaronDFordNV
7.02696E+17	AaronDFordNV
7.02926E+17	AaronDFordNV
7.02927E+17	AaronDFordNV
7.02932E+17	AaronDFordNV
7.02935E+17	AaronDFordNV
7.02953E+17	AaronDFordNV
7.0296E+17	AaronDFordNV
7.08048E+17	AaronDFordNV
7.08783E+17	AaronDFordNV
7.10141E+17	AaronDFordNV
7.1632E+17	AaronDFordNV
7.22523E+17	AaronDFordNV
7.26515E+17	AaronDFordNV
7.26515E+17	AaronDFordNV
7.1964E+17	AaronEmerson09
7.11241E+17	aaronflint
6.93876E+17	AaronHenricks
7.27267E+17	AaronLoweAL
7.00473E+17	aaronmartinj
6.99662E+17	AaronMehta
6.99662E+17	AaronMehta
7.20377E+17	AaronMehta
6.92213E+17	AaronMesh
6.86684E+17	AaronPBean
6.91609E+17	AaronPBean
6.94904E+17	AaronPBean
7.07992E+17	AaronPBean
6.86357E+17	AaronRodgers12
7.15244E+17	AaronRodgers12
7.17433E+17	AaronRodgers12
7.00514E+17	AARPadvocates
7.04443E+17	AARPAlaska
7.04744E+17	AARPAlaska
7.05081E+17	AARPAlaska
7.11277E+17	AARPAlaska
7.17072E+17	AARPAlaska
6.9756E+17	AARPCO
6.9756E+17	AARPCO
7.02636E+17	AARPCO
6.9024E+17	AARPCT
6.9025E+17	AARPCT
7.07314E+17	AARPCT
7.10083E+17	AARPCT
7.17711E+17	AARPCT
7.20365E+17	AARPCT
7.24957E+17	AARPCT
7.26581E+17	AARPCT
7.26582E+17	AARPCT
7.17711E+17	aarpfraudwatch
6.90962E+17	aarpia
7.01831E+17	AARPTX
7.00061E+17	AARPWY
6.87128E+17	AARSuccess
7.19937E+17	AAUW
7.19967E+17	AAUW
7.27667E+17	abbeyrd99
7.22834E+17	abbijacobson
7.11369E+17	abbydphillip
7.01142E+17	abbylski
7.05956E+17	AbbyTruth
6.85518E+17	AbbyWambach
6.85878E+17	AbbyWambach
6.85905E+17	AbbyWambach
6.88806E+17	AbbyWambach
7.03332E+17	AbbyWambach
6.84226E+17	ABC
6.85206E+17	ABC
6.86552E+17	ABC
6.86566E+17	ABC
6.87487E+17	ABC
6.88046E+17	ABC
6.89994E+17	ABC
6.95283E+17	ABC
6.9529E+17	ABC
6.95306E+17	ABC
6.95373E+17	ABC
6.95439E+17	ABC
6.95667E+17	ABC
6.95812E+17	ABC
6.95967E+17	ABC
6.9601E+17	ABC
6.96048E+17	ABC
6.96101E+17	ABC
6.96118E+17	ABC
6.96133E+17	ABC
6.96142E+17	ABC
6.96143E+17	ABC
6.96162E+17	ABC
6.96219E+17	ABC
6.97204E+17	ABC
6.97216E+17	ABC
7.02269E+17	ABC
7.04682E+17	ABC
7.13027E+17	ABC
7.14075E+17	ABC
7.19013E+17	ABC
7.20656E+17	ABC
7.23688E+17	ABC
7.288E+17	ABC
